number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
47,0.9770433590829803,2023-11-03 20:24:57.230593,2023-11-03 20:25:07.908924,0 days 00:00:10.678331,0.003657961516207336,gbtree,0.9093942195039199,0.9280094620128041,3.7688192545364028,depthwise,0.00246302465107288,12,1,0.9315434765537197,COMPLETE
48,0.9621230999252429,2023-11-03 20:25:07.928924,2023-11-03 20:25:11.970169,0 days 00:00:04.041245,0.003117159080524831,gbtree,0.9864533636590369,0.975247288711627,3.515247059462519,lossguide,0.016384403250368065,20,52,0.9792739730618373,PRUNED
49,0.9011961126339397,2023-11-03 20:25:11.991167,2023-11-03 20:25:14.107943,0 days 00:00:02.116776,0.005175122731683132,gbtree,0.8727761951312788,0.9477698144431459,2.9692204352217466,depthwise,0.004186858776008385,18,260,0.9197040430221219,PRUNED
50,0.980532020931971,2023-11-03 20:25:14.132942,2023-11-03 20:25:27.268917,0 days 00:00:13.135975,0.0021380424542315393,gbtree,0.9465135691549483,0.973653490851392,2.526078014291043,depthwise,0.0012425111535277911,20,13,0.8874734555435043,COMPLETE
51,0.980532020931971,2023-11-03 20:25:27.288929,2023-11-03 20:25:39.955160,0 days 00:00:12.666231,0.001357289912951224,gbtree,0.9523285180934711,0.9749607724676104,2.3851240474405326,depthwise,0.0011321136835357641,20,15,0.9530949019484601,COMPLETE
52,0.9795975579367058,2023-11-03 20:25:39.975605,2023-11-03 20:25:52.928680,0 days 00:00:12.953075,0.0023568718265524454,gbtree,0.9522704944414733,0.9445155746244214,2.3945626925679955,depthwise,0.0010810809757966404,19,14,0.94910397290352,COMPLETE
53,0.9714677298778969,2023-11-03 20:25:52.957681,2023-11-03 20:25:56.192316,0 days 00:00:03.234635,0.0012109470548180806,gbtree,0.9809290032928478,0.978991301032654,2.4652345140191385,depthwise,0.0012977793398310329,19,38,0.8829540312257131,PRUNED
54,0.9805008721654622,2023-11-03 20:25:56.222314,2023-11-03 20:26:08.134103,0 days 00:00:11.911789,0.0023978344944262037,gbtree,0.9597709089768367,0.9543640907168695,2.1819198270777345,depthwise,0.001067552506018772,18,15,0.9027767614537827,COMPLETE
55,0.975267879391976,2023-11-03 20:26:08.156106,2023-11-03 20:26:20.655271,0 days 00:00:12.499165,0.001349682758643905,gbtree,0.9560572358740905,0.9793536776777503,2.163471001108079,depthwise,0.0010157311479260757,18,22,0.9005368960932237,COMPLETE
56,0.9664839272364815,2023-11-03 20:26:20.677274,2023-11-03 20:26:23.651035,0 days 00:00:02.973761,0.0025925972794363923,gbtree,0.9569690881955132,0.9171559388814444,1.8255536729827084,depthwise,0.001029629713270193,16,41,0.8563757576705566,PRUNED
57,0.9502865686518814,2023-11-03 20:26:23.671037,2023-11-03 20:26:26.366254,0 days 00:00:02.695217,0.0015568736215225145,gbtree,0.9425315434686314,0.9855513241203511,2.6081950681071397,depthwise,0.0012954289270656109,18,62,0.8236729660950453,PRUNED
58,0.9826812858210815,2023-11-03 20:26:26.389258,2023-11-03 20:26:38.503267,0 days 00:00:12.114009,0.00343586087600313,gbtree,0.9976458182999348,0.9526186488685378,1.751956972042752,depthwise,0.0013651343456635198,17,13,0.9290179426254155,COMPLETE
59,0.9817779715923249,2023-11-03 20:26:38.524784,2023-11-03 20:26:50.211849,0 days 00:00:11.687065,0.002351261795146983,gbtree,0.8918560847970483,0.9243663482098315,1.7981183225065644,depthwise,0.001370865548943754,17,15,0.9222698960753748,COMPLETE
60,0.964739596311986,2023-11-03 20:26:50.233365,2023-11-03 20:26:52.901617,0 days 00:00:02.668252,0.003341748059492512,gbtree,0.9038004273393359,0.9539734691039253,1.795919061608501,depthwise,0.0020344824688992356,16,48,0.8719527090080501,PRUNED
61,0.9831485173187141,2023-11-03 20:26:52.922142,2023-11-03 20:27:05.001173,0 days 00:00:12.079031,0.0023536974305251334,gbtree,0.9743774591259764,0.9236483968413272,1.681740875587411,depthwise,0.001407037053686087,17,13,0.9270605476057748,COMPLETE
62,0.9749563917268876,2023-11-03 20:27:05.033698,2023-11-03 20:27:08.261656,0 days 00:00:03.227958,0.0023893597345028264,gbtree,0.9598887818100792,0.9236892199150867,1.5695117834242878,depthwise,0.0013873574157730923,17,29,0.9206084945198789,PRUNED
63,0.9776974831796661,2023-11-03 20:27:08.289657,2023-11-03 20:27:20.215138,0 days 00:00:11.925481,0.0012656932864188236,gbtree,0.883710893282396,0.9071556705315545,2.169089786977093,depthwise,0.001308016584376778,14,15,0.8935817073098687,COMPLETE
64,0.9828058808871168,2023-11-03 20:27:20.238656,2023-11-03 20:27:34.678629,0 days 00:00:14.439973,0.00233895339417972,gbtree,0.9437595694241419,0.9582991077377675,1.400585752891247,depthwise,0.0018253105624194326,16,13,0.9303176049534044,COMPLETE
65,0.9742088213306753,2023-11-03 20:27:34.705945,2023-11-03 20:27:37.898357,0 days 00:00:03.192412,0.004576362029901485,gbtree,0.9810976329766794,0.9306018511366593,1.347552282825924,depthwise,0.002993362639056598,16,31,0.9294381404867756,PRUNED
66,0.9656117617742337,2023-11-03 20:27:37.922354,2023-11-03 20:27:40.829863,0 days 00:00:02.907509,0.003204460786308015,gbtree,0.9386087423052795,0.9566190363115477,1.1004007811000163,depthwise,0.0020380319359077134,15,40,0.9095487384018411,PRUNED
67,0.9806254672314976,2023-11-03 20:27:40.852874,2023-11-03 20:27:52.834348,0 days 00:00:11.981474,0.0015988528602492627,gbtree,0.9701795081035298,0.9614552412092654,2.067346077527491,depthwise,0.0015870106251986377,17,14,0.9296171635210837,COMPLETE
68,0.9758597059556442,2023-11-03 20:27:52.857358,2023-11-03 20:28:09.219488,0 days 00:00:16.362130,0.0015865316400855657,gbtree,0.9969459746924022,0.8851316483884611,1.9417160234242783,lossguide,0.0016177669004660367,13,23,0.9333866994664403,COMPLETE
69,0.9836468975828556,2023-11-03 20:28:09.242487,2023-11-03 20:28:22.214651,0 days 00:00:12.972164,0.0011377584980456746,gbtree,0.9709591714123217,0.8987654624393527,1.6367173987238706,depthwise,0.0025923539634300236,15,10,0.9575427597789357,COMPLETE
70,0.9561425367555445,2023-11-03 20:28:22.242650,2023-11-03 20:28:25.162724,0 days 00:00:02.920074,0.0019788140154337673,gbtree,0.9788909753947789,0.900553536834464,1.624504925523477,depthwise,0.002764579476455365,15,58,0.8692383887810184,PRUNED
71,0.9820271617243957,2023-11-03 20:28:25.193250,2023-11-03 20:28:36.989260,0 days 00:00:11.796010,0.001137934107730527,gbtree,0.9695241950473026,0.9200664654473095,1.9711346211324832,depthwise,0.0018397666519105584,17,9,0.9572961861290556,COMPLETE
72,0.9809058061300773,2023-11-03 20:28:37.014780,2023-11-03 20:28:48.329066,0 days 00:00:11.314286,0.0010285673314441412,gbtree,0.9314249053533633,0.9184934179626882,2.0441964987032106,depthwise,0.0018463358197166803,17,10,0.9281701399420533,COMPLETE
73,0.9853912285073512,2023-11-03 20:28:48.352065,2023-11-03 20:28:59.787761,0 days 00:00:11.435696,0.0010553479820165346,gbtree,0.9703088978721546,0.8750011289891568,1.9901473642422427,depthwise,0.0034883422370219808,17,7,0.9299038338794998,COMPLETE
74,0.9851731871417891,2023-11-03 20:28:59.818294,2023-11-03 20:29:13.004571,0 days 00:00:13.186277,0.0010841448670940112,gbtree,0.9162512175605396,0.9181759999407675,1.5956298542922758,depthwise,0.003364465413368478,16,7,0.9590736889340631,COMPLETE
75,0.9739596311986045,2023-11-03 20:29:13.029086,2023-11-03 20:29:16.225738,0 days 00:00:03.196652,0.0011690841391797109,gbtree,0.9179574622257689,0.8819208989243118,1.3304330680669225,depthwise,0.0039834492540130806,16,34,0.9626164890316258,PRUNED
76,0.9844567655120857,2023-11-03 20:29:16.249739,2023-11-03 20:29:29.376958,0 days 00:00:13.127219,0.0010745135804495183,gbtree,0.9979744621956851,0.8738103860218964,1.5691896291520782,depthwise,0.003353444018086925,14,7,0.9122982871074247,COMPLETE
77,0.9391976077747322,2023-11-03 20:29:29.400961,2023-11-03 20:29:31.794197,0 days 00:00:02.393236,0.0010446913375568852,gbtree,0.9995270533693643,0.8710718134056857,1.1676933665895184,depthwise,0.003311374678637321,14,118,0.9584549758743203,PRUNED
78,0.9845502118116123,2023-11-03 20:29:31.818197,2023-11-03 20:29:44.715330,0 days 00:00:12.897133,0.0012482177202388799,gbtree,0.9867360444022593,0.8697902626053183,1.526887444823375,depthwise,0.005296382636251925,15,7,0.9846818268179074,COMPLETE
79,0.978538499875405,2023-11-03 20:29:44.739337,2023-11-03 20:30:02.326259,0 days 00:00:17.586922,0.0016401226858850837,gbtree,0.9872845723670783,0.8634192183466158,1.5467535174933085,lossguide,0.005097859425597101,15,25,0.9864810841774552,COMPLETE
80,0.982369798155993,2023-11-03 20:30:02.351269,2023-11-03 20:30:14.732311,0 days 00:00:12.381042,0.0017792119570330753,gbtree,0.9702725492333317,0.8400861151173862,1.4534865286948777,depthwise,0.0024664467127994373,13,8,0.9411936978210278,COMPLETE
81,0.9845190630451034,2023-11-03 20:30:14.762320,2023-11-03 20:30:27.574837,0 days 00:00:12.812517,0.0012568037854777069,gbtree,0.9718053011142049,0.9010810751886585,1.4611394933538895,depthwise,0.0026731227290238972,13,7,0.938551381111474,COMPLETE
82,0.9752055818589583,2023-11-03 20:30:27.600354,2023-11-03 20:30:33.846399,0 days 00:00:06.246045,0.0013340584933472777,gbtree,0.9891562754402987,0.8986694467643188,1.7005780497827476,depthwise,0.004674648622780528,14,24,0.9851356227439552,PRUNED
83,0.98461250934463,2023-11-03 20:30:33.862487,2023-11-03 20:30:46.817575,0 days 00:00:12.955088,0.0010114811356895352,gbtree,0.9741937517193975,0.8824556229195678,1.1662103521221892,depthwise,0.0034421034340713637,12,8,0.9098737984269606,COMPLETE
84,0.9859207575380015,2023-11-03 20:30:46.844579,2023-11-03 20:31:00.487348,0 days 00:00:13.642769,0.0010059931873783144,gbtree,0.9408945828535357,0.884177098919812,1.145335264093336,depthwise,0.0035022352012581467,12,6,0.9081876208094571,COMPLETE
85,0.9825566907550461,2023-11-03 20:31:00.515873,2023-11-03 20:31:13.395403,0 days 00:00:12.879530,0.001024702074172198,gbtree,0.9755302084519522,0.8805827721507541,1.1725195587376196,depthwise,0.0038967475465672575,11,6,0.9109363465838616,COMPLETE
86,0.9682282581609768,2023-11-03 20:31:13.422930,2023-11-03 20:31:15.952185,0 days 00:00:02.529255,0.0012379956779971495,gbtree,0.9623701376765393,0.8419066895293055,1.4916395735617443,depthwise,0.0031325929031382465,12,33,0.9119446561980332,PRUNED
